"","Country.Name","Country.Code","Indicator.Name","Indicator.Code","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
"1","Mexico","MEX","Labor force, female","SL.TLF.TOTL.FE.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9090257,9296199,9834971,10404952,10881487,11524188,11785007,12715255,12895860,12878877,13248476,13255751,13757211,13837501,14905732,15325065,16085282,16709440,17353649,17457767,18316568,18476965,19655267,20000656,20575673,21017063,21444235,21871239
"2","United States","USA","Labor force, female","SL.TLF.TOTL.FE.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56842777,57289456,58399599,59188790,60873617,61784887,62803939,64136336,65059097,66041687,66907090,67426028,67866877,68383067,68773682,69689140,70546482,71248562,72309790,72682582,72591301,72489466,72895264,73006024,73429254,73938182,74409003,74823771
