EntertainmentSpending,Year,Age,AlcoholicSpending,HealthcareSpending,IncomeAfterTax,IncomeBeforeTax,annualExpend,housingexpend
2966,2005,35-44 years,$511,"$2,272","$69,619","$72,699","$55,190","$18,482"
2770,2005,45-54 years,$458,"$2,672","$71,442","$75,266","$55,854","$17,258"
2666,2005,55-64 years,$454,"$3,410","$61,068","$64,156","$49,592","$15,769"
1584,2005,65 years and older,$248,"$4,193","$36,007","$36,936","$32,866","$11,058"
2049,2005,65-74 years,$325,"$4,176","$43,976","$45,202","$38,573","$12,474"
1099,2005,75 years and older,$167,"$4,210","$27,924","$28,552","$27,018","$9,612"
1393,2006,Under 25 years,$473,$706,"$28,535","$29,057","$28,181","$9,355"
2455,2006,25-34 years,$657,"$1,652","$55,676","$57,208","$47,582","$17,139"
2765,2006,35-44 years,$496,"$2,284","$72,445","$75,613","$57,476","$20,303"
3034,2006,45-54 years,$612,"$2,757","$73,683","$77,043","$57,563","$18,377"
2429,2006,55-64 years,$477,"$3,556","$60,894","$64,425","$50,789","$16,529"
1593,2006,65 years and older,$263,"$4,331","$36,753","$37,982","$35,058","$11,787"
2143,2006,65-74 years,$339,"$4,379","$44,304","$46,064","$40,960","$13,273"
1032,2006,75 years and older,$184,"$4,282","$28,850","$29,525","$28,904","$10,236"
1166,2007,Under 25 years,$461,$800,"$30,802","$31,443","$29,457","$9,598"
2122,2007,25-34 years,$514,"$1,740","$55,765","$57,256","$47,510","$17,329"
2504,2007,35-44 years,$469,"$2,315","$74,051","$76,540","$58,934","$20,952"
2711,2007,45-54 years,$498,"$2,792","$77,075","$80,560","$58,331","$19,195"
2823,2007,55-64 years,$533,"$3,476","$67,965","$71,048","$53,786","$17,223"
1429,2007,65 years and older,$285,"$4,631","$39,179","$40,305","$36,530","$12,396"
1879,2007,65-74 years,$346,"$4,967","$46,334","$47,708","$42,262","$13,547"
990,2007,75 years and older,$218,"$4,275","$31,634","$32,499","$30,414","$11,173"
950,2008,Under 25 years,$448,$682,"$27,907","$28,127","$29,325","$9,975"
1958,2008,25-34 years,$491,"$1,737","$58,809","$59,878","$48,159","$17,318"
2519,2008,35-44 years,$462,"$2,499","$75,677","$77,582","$58,808","$20,649"
2407,2008,45-54 years,$505,"$2,930","$78,537","$81,844","$61,179","$19,562"
2414,2008,55-64 years,$525,"$3,825","$69,009","$71,653","$54,783","$17,611"
1469,2008,65 years and older,$251,"$4,605","$38,841","$39,341","$36,844","$12,993"
2016,2008,65-74 years,$343,"$4,779","$44,402","$45,232","$41,433","$13,845"
909,2008,75 years and older,$144,"$4,413","$32,747","$32,886","$31,692","$12,035"
1212,2009,Under 25 years,$344,$676,"$25,522","$25,695","$28,119","$9,735"
2027,2009,25-34 years,$481,"$1,805","$57,239","$58,946","$46,494","$17,258"
2685,2009,35-44 years,$498,"$2,520","$74,900","$77,005","$57,301","$20,705"
2565,2009,45-54 years,$502,"$3,173","$77,460","$80,976","$58,708","$19,004"
2297,2009,55-64 years,$440,"$3,895","$67,586","$70,609","$52,463","$16,991"
1139,2009,65 years and older,$292,"$4,846","$39,054","$39,862","$37,562","$13,196"
1371,2009,65-74 years,$389,"$4,906","$46,147","$47,286","$42,957","$14,462"
896,2009,75 years and older,$188,"$4,779","$31,272","$31,715","$31,676","$11,811"
1152,2010,Under 25 years,$406,$775,"$26,777","$26,881","$27,483","$9,553"
2001,2010,25-34 years,$473,"$1,800","$58,558","$59,613","$46,617","$16,845"
2508,2010,35-44 years,$497,"$2,583","$74,136","$76,128","$55,946","$20,041"
2233,2010,45-54 years,$414,"$3,261","$76,266","$79,589","$57,788","$18,900"
2337,2010,55-64 years,$402,"$3,859","$66,611","$68,906","$50,900","$16,673"
1067,2010,65 years and older,$295,"$4,843","$40,626","$41,286","$36,802","$13,015"
1296,2010,65-74 years,$392,"$4,922","$48,595","$49,711","$41,434","$14,420"
822,2010,75 years and older,$184,"$4,754","$31,638","$31,782","$31,529","$11,421"
1091,2011,Under 25 years,$418,$841,"$27,495","$27,514","$29,912","$10,282"
1876,2011,25-34 years,$513,"$2,094","$56,851","$58,179","$48,097","$17,026"
2464,2011,35-44 years,$497,"$2,762","$75,537","$77,376","$57,271","$19,979"
2231,2011,45-54 years,$494,"$3,411","$75,234","$78,519","$58,050","$18,782"
1955,2011,55-64 years,$468,"$4,048","$72,115","$75,517","$53,616","$17,173"
1069,2011,65 years and older,$338,"$4,769","$42,326","$43,232","$39,173","$13,706"
1403,2011,65-74 years,$422,"$5,038","$51,161","$52,521","$44,646","$15,105"
707,2011,75 years and older,$241,"$4,449","$31,779","$32,144","$32,688","$12,046"
